#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1,-105.44266643337839,314.00698461238,0.020780882334166598
2,-110.14807948166772,356.8485370609622,0.020780882334166598
3,-118.11271770106771,406.22868896743586,0.020780882334166598
4,-133.35139516212985,491.5028404731778,0.020780882334166598
5,-150.19390300170906,602.3727737331208,0.020780882334166598
6,-158.38053783876165,659.7442128190306,0.020780882334166598
7,-153.99465530470047,637.3081875897831,0.020780882334166598
8,-144.03664722082118,563.9706082413378,0.020780882334166598
9,-138.21006895634878,532.8596191598223,0.020780882334166598
10,-138.55529760018686,539.8360530316429,0.020780882334166598
11,-142.75337143364243,569.7204223126465,0.020780882334166598
12,-146.57878362879316,594.6564873130318,0.020780882334166598
13,-147.05420406525135,594.5979675332659,0.020780882334166598
14,-144.56135669894002,582.5711827420109,0.020780882334166598
15,-137.96079584272607,544.5340810149326,0.020780882334166598
16,-129.70171953450486,487.3039694185152,0.020780882334166598
17,-124.1461353663207,450.67077931005684,0.020780882334166598
18,-122.19949689318283,435.721415612475,0.020780882334166598
19,-121.71546682030724,419.1162794074242,0.020780882334166598
20,-116.651618255015,377.9983260394308,0.020780882334166598
21,-107.72206499336636,323.56444381080195,0.020780882334166598
22,-101.7770931568869,274.3945147941024,0.020780882334166598
23,-103.96546663123331,284.7949444142837,0.020780882334166598
24,-109.499960208425,321.2737021678461,0.020780882334166598
25,-110.66061034039582,318.9573931874886,0.020780882334166598
26,-107.03009202728393,296.0033714871432,0.020780882334166598
27,-105.78114320756413,289.72492430225174,0.020780882334166598
28,-109.9607128373603,311.10936405771207,0.020780882334166598
29,-114.90263570589252,332.7504417315579,0.020780882334166598
30,-114.55021790295064,320.4699203067458,0.020780882334166598
31,-109.56185169006204,288.2505711917142,0.020780882334166598
32,-107.43320944507336,278.26521363907267,0.020780882334166598
33,-112.67397652933649,315.58791390650435,0.020780882334166598
34,-119.81988582844218,357.48727464009954,0.020780882334166598
35,-118.20200613555642,351.5684064515692,0.020780882334166598
36,-105.5983998682797,275.36025277800667,0.020780882334166598
37,-93.54004769947356,204.03916137342898,0.020780882334166598
38,-95.36348282829208,211.98238067437882,0.020780882334166598
39,-112.25683613081097,319.8189346121506,0.020780882334166598
40,-129.9640366361139,447.10430742928725,0.020780882334166598
41,-135.0979500168784,476.5280450352265,0.020780882334166598
42,-130.46047664185596,451.21620598201656,0.020780882334166598
43,-128.7672971469776,429.33037640010207,0.020780882334166598
44,-136.92944144237953,487.08852654464397,0.020780882334166598
45,-146.587319590061,554.2881754461295,0.020780882334166598
46,-146.23099559350825,560.6089595724133,0.020780882334166598
47,-138.13234169659597,511.26650169613777,0.020780882334166598
48,-133.09209777696847,488.31020387625244,0.020780882334166598
49,-136.7972097901719,500.33731542597013,0.020780882334166598
50,-144.95092758463943,545.9882113310595,0.020780882334166598
51,-147.49870288601358,558.584247478563,0.020780882334166598
52,-144.83097478040102,535.5623751204254,0.020780882334166598
53,-144.75961085988567,544.1347899795602,0.020780882334166598
54,-152.15517694822518,595.0799998912024,0.020780882334166598
55,-160.8469636696831,653.0161137202738,0.020780882334166598
56,-159.73482722919627,649.0388600704722,0.020780882334166598
57,-148.16957698244494,580.6815236739757,0.020780882334166598
58,-137.47399497710407,512.3354869902371,0.020780882334166598
59,-134.30420979029398,482.7720188947424,0.020780882334166598
60,-133.4003800233944,467.9242460776288,0.020780882334166598
61,-126.20156888276013,418.7060389112754,0.020780882334166598
62,-111.56042719191754,325.62456628720463,0.020780882334166598
63,-97.92492813611736,246.15953531235624,0.020780882334166598
64,-93.74963239883729,213.51986848336327,0.020780882334166598
65,-99.50880282357107,254.90093001330743,0.020780882334166598
66,-107.19976823167777,292.3656106902646,0.020780882334166598
67,-109.87467860242562,317.23605445034104,0.020780882334166598
68,-107.80553685645891,307.39370228223174,0.020780882334166598
69,-106.82717325443375,311.5042829427563,0.020780882334166598
70,-112.05636851091295,347.9932560469162,0.020780882334166598
71,-121.59944472563261,403.5292382912383,0.020780882334166598
72,-133.01023217496805,474.5735905570412,0.020780882334166598
73,-143.81762409561938,541.4428522503455,0.020780882334166598
74,-152.9935401645699,592.7066014109623,0.020780882334166598
75,-158.01713451655817,628.1724311521411,0.020780882334166598
76,-158.13822045974084,633.8746573347421,0.020780882334166598
77,-156.24239220643423,617.296425328386,0.020780882334166598
78,-157.20559551315324,606.4225648946538,0.020780882334166598
79,-161.21695359398484,623.6174598936132,0.020780882334166598
80,-165.6267422951619,645.4190935840701,0.020780882334166598
