#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
147,-196.95101759134118,151.90367059775295,0.020780882334166598
148,-203.7266830588351,190.15116496035472,0.020780882334166598
149,-209.09319193570423,224.23677512918763,0.020780882334166598
150,-206.75163211775816,206.1302539778342,0.020780882334166598
151,-199.24220142054122,161.23859386601097,0.020780882334166598
152,-194.82517866269862,131.63559469024673,0.020780882334166598
153,-197.45340977616843,140.29078881137164,0.020780882334166598
154,-203.73692762664348,176.63503120681605,0.020780882334166598
155,-206.95768221088107,196.2670970466618,0.020780882334166598
156,-204.14603465330495,177.2193667635003,0.020780882334166598
157,-199.52375086183133,138.4188935977018,0.020780882334166598
158,-199.07140117407494,137.27506796000245,0.020780882334166598
159,-204.8157111344585,176.6472394912969,0.020780882334166598
160,-212.05156074437383,230.64560613055085,0.020780882334166598
161,-213.52487078090553,237.74301511230757,0.020780882334166598
162,-208.12618244485398,211.75888321554615,0.020780882334166598
163,-202.0828363621423,170.53685469080563,0.020780882334166598
164,-202.07449382105625,169.93676736008877,0.020780882334166598
165,-207.64495938112498,209.5408341458045,0.020780882334166598
166,-212.50776417316078,236.97174767961212,0.020780882334166598
167,-210.00887452014356,212.76574455671388,0.020780882334166598
168,-200.85370273631852,165.2159911202372,0.020780882334166598
169,-194.66654850872504,129.9752875575543,0.020780882334166598
170,-198.70921085945704,156.9390435932843,0.020780882334166598
171,-208.5775935551572,226.0881887413507,0.020780882334166598
172,-212.7836840143333,260.90629165607135,0.020780882334166598
173,-207.65153551891817,231.6870002786181,0.020780882334166598
174,-200.48331440105963,174.5827373563054,0.020780882334166598
175,-200.4965580178725,180.46118940487253,0.020780882334166598
176,-208.61021977684024,229.96446071755,0.020780882334166598
177,-216.18739156354852,268.20651352041796,0.020780882334166598
178,-214.74109896406873,247.1583835908282,0.020780882334166598
179,-205.03948308680395,189.1678618108324,0.020780882334166598
180,-196.710001972728,136.54854753623573,0.020780882334166598
181,-198.42079371464104,142.7667222111131,0.020780882334166598
182,-207.63158115180653,204.1342961128925,0.020780882334166598
183,-212.09968903956724,234.22503256856893,0.020780882334166598
184,-205.5081596302255,195.08686513719573,0.020780882334166598
185,-195.239588226549,125.76644916554908,0.020780882334166598
186,-193.26384872306707,116.1186305802265,0.020780882334166598
187,-202.11842734279338,173.5641134347632,0.020780882334166598
188,-211.96936673764242,228.6919367298575,0.020780882334166598
189,-212.45972052179707,242.72132055779275,0.020780882334166598
190,-204.5058689631701,186.22625157006638,0.020780882334166598
191,-197.98514633654108,150.48368358387626,0.020780882334166598
192,-200.95883699003733,162.29592812083325,0.020780882334166598
193,-209.44481257951048,215.92885787290797,0.020780882334166598
194,-211.80297486566198,233.85567822910053,0.020780882334166598
195,-204.36604835910762,184.5942715198114,0.020780882334166598
196,-195.7830851969219,134.53980446289282,0.020780882334166598
197,-195.47416685498052,134.57212574021085,0.020780882334166598
198,-203.10156988096992,179.64008873679109,0.020780882334166598
199,-209.24195386290108,219.30951138731925,0.020780882334166598
200,-206.6205527643711,208.83815137978664,0.020780882334166598
201,-198.60085297665012,156.57052295357676,0.020780882334166598
202,-194.92758193911365,124.86685919121216,0.020780882334166598
203,-200.434423223955,160.65223259750084,0.020780882334166598
204,-208.9312119484856,212.54697428123742,0.020780882334166598
205,-210.45058887297145,224.8447883884488,0.020780882334166598
206,-204.83662722946738,183.29399354587468,0.020780882334166598
207,-200.20614592963952,152.05040298030184,0.020780882334166598
208,-201.39364684386115,162.93467095157644,0.020780882334166598
209,-204.5224843847751,183.35550033867466,0.020780882334166598
210,-204.98912710787258,189.74168696719613,0.020780882334166598
211,-203.0951482690385,178.39561690283222,0.020780882334166598
212,-200.64525713718143,161.81197325186253,0.020780882334166598
213,-200.21554984487793,160.06133342145586,0.020780882334166598
214,-201.71186917861738,161.54660293869404,0.020780882334166598
215,-202.80369915107624,168.24793146302108,0.020780882334166598
216,-201.70578084616318,159.55387445802864,0.020780882334166598
217,-201.141049246797,156.20529845203112,0.020780882334166598
218,-205.06761337335072,177.68393764302698,0.020780882334166598
219,-209.2696437106312,202.55180862486705,0.020780882334166598
220,-209.1014281128824,201.1744395868019,0.020780882334166598
221,-206.65222867607307,182.45529576788581,0.020780882334166598
222,-206.55327472588993,175.42574016732806,0.020780882334166598
223,-208.35179853024218,196.1640907852993,0.020780882334166598
224,-208.94679063882504,194.5223762791187,0.020780882334166598
225,-206.40380469326715,183.70766705790345,0.020780882334166598
226,-202.09748318195165,156.50738608817412,0.020780882334166598
227,-198.17768592995876,145.83922457795916,0.020780882334166598
228,-199.23253306411328,148.02872273480645,0.020780882334166598
229,-205.321935342274,189.09553634814264,0.020780882334166598
230,-209.45513534196405,219.60848903126802,0.020780882334166598
231,-206.33588641126735,199.92310399338876,0.020780882334166598
232,-200.03601465358443,158.6957675826596,0.020780882334166598
233,-198.56972287982524,153.34033805677558,0.020780882334166598
234,-204.11887656620942,187.24696110087913,0.020780882334166598
235,-210.6361736611707,222.30049328559767,0.020780882334166598
236,-211.1234762648061,233.9655194569615,0.020780882334166598
237,-204.2644421855881,189.95747476334307,0.020780882334166598
238,-197.3482029281505,155.84465462411188,0.020780882334166598
239,-198.6793603745859,176.13267558470804,0.020780882334166598
240,-206.97628352697964,221.3080083884847,0.020780882334166598
241,-211.32711622587595,241.9513331768787,0.020780882334166598
242,-204.72953918215552,201.69108184555407,0.020780882334166598
243,-194.35955042104786,130.0716051568819,0.020780882334166598
244,-192.43775503058143,120.29191567086816,0.020780882334166598
245,-200.00998533614668,161.36142894775125,0.020780882334166598
246,-209.58247544210795,226.41843355500797,0.020780882334166598
247,-209.65865782769072,228.38288470233317,0.020780882334166598
248,-200.52089968303127,180.6938367844341,0.020780882334166598
249,-192.6981388041736,133.13439047909682,0.020780882334166598
250,-195.43538993192433,152.93795677065842,0.020780882334166598
251,-206.34978843062774,213.51379490668657,0.020780882334166598
252,-212.62254889301542,253.97945926639693,0.020780882334166598
253,-206.04691032354108,220.76205262297484,0.020780882334166598
254,-194.49830514352007,152.4965462544303,0.020780882334166598
255,-191.59582641159653,126.25668888597278,0.020780882334166598
256,-199.45161318344162,176.28205020613547,0.020780882334166598
257,-207.20764732002317,221.3363300755758,0.020780882334166598
258,-205.39819285567327,216.19362755244958,0.020780882334166598
259,-195.2201699363498,157.13334984453076,0.020780882334166598
260,-188.28008360572412,115.40289056421652,0.020780882334166598
261,-192.39992597682294,141.16583746764354,0.020780882334166598
262,-204.39211266700667,220.66375763343342,0.020780882334166598
263,-212.8980109586461,276.54514278817646,0.020780882334166598
264,-208.37238763007855,248.0988395830737,0.020780882334166598
265,-196.67131124284398,175.35981028490798,0.020780882334166598
266,-191.20649957415444,150.6048569318179,0.020780882334166598
267,-197.79509475816624,188.5871152002778,0.020780882334166598
268,-206.95985261705053,253.9729781807205,0.020780882334166598
269,-206.93307204474362,250.80085396317736,0.020780882334166598
270,-196.7940315271572,196.28050197232162,0.020780882334166598
271,-187.6403875474246,138.21166116470474,0.020780882334166598
272,-189.59747148483586,146.8211512782071,0.020780882334166598
273,-200.21475649262047,213.43640811411976,0.020780882334166598
274,-207.85364749801084,264.164781756056,0.020780882334166598
275,-203.37141243575795,248.5475877585154,0.020780882334166598
276,-191.3274799023711,182.27711839551597,0.020780882334166598
277,-186.59496082484074,147.97785765595543,0.020780882334166598
278,-197.12983031103676,212.3142376904405,0.020780882334166598
279,-210.77990749225933,293.2368066878648,0.020780882334166598
